Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กกลมดำ 1"" ขาว",0100080060003,code128,ไม่ระบุ,01,004,004,  ,224,260,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1"" เขียว",0100080060004,code128,ไม่ระบุ,01,004,004,  ,264,290,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" เหลือง",0100080070001,code128,ไม่ระบุ,01,004,004,  ,183,213.08,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" ส้ม",0100080070002,code128,ไม่ระบุ,01,004,004,  ,220,250,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" ขาว",0100080070003,code128,ไม่ระบุ,01,004,004,  ,275,320,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" เขียว",0100080070004,code128,ไม่ระบุ,01,004,004,  ,349,380,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" เหลือง",0100080080001,code128,ไม่ระบุ,01,004,004,  ,208,232.71,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" ส้ม",0100080080002,code128,ไม่ระบุ,01,004,004,  ,237,270,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" ขาว",0100080080003,code128,ไม่ระบุ,01,004,004,  ,283,350,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" เขียว",0100080080004,code128,ไม่ระบุ,01,004,004,  ,399,430,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 2"" เหลือง",0100080090001,code128,ไม่ระบุ,01,004,004,  ,277,305.61,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 2"" ส้ม",0100080090002,code128,ไม่ระบุ,01,004,004,  ,315,350,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 2"" ขาว",0100080090003,code128,ไม่ระบุ,01,004,004,  ,368,400,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 2"" เขียว",0100080090004,code128,ไม่ระบุ,01,004,004,  ,501,530,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 2-1/2"" ส้ม",0100080100002,code128,ไม่ระบุ,01,004,004,  ,488,543.92,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 3"" ส้ม",0100080110002,code128,ไม่ระบุ,01,004,004,  ,599,650,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 3"" เขียว",0100080110004,code128,ไม่ระบุ,01,004,004,  ,767,800,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 4"" ส้ม",0100080120002,code128,ไม่ระบุ,01,004,004,  ,796,850,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 4"" เขียว",0100080120004,code128,ไม่ระบุ,01,004,004,  ,999,1050,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 4 หุน ปลายเรียบคาดแดง,0100090030006,code128,ไม่ระบุ,01,004,004,  ,151.4,200,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 4 หุน ปลายเกลียวคาดเหลือง,0100090030001,code128,ไม่ระบุ,01,004,004,  ,163.55,230,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 4 หุน ปลายเกลียวคาดน้ำเงิน,0100090030007,code128,ไม่ระบุ,01,004,004,  ,208.41,290,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 6 หุน ปลายเรียบคาดแดง,0100090050006,code128,ไม่ระบุ,01,004,004,  ,186.92,240,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 6 หุน ปลายเกลียวคาดเหลือง,0100090050001,code128,ไม่ระบุ,01,004,004,  ,196.26,260,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กประปา 6 หุน ปลายเกลียวคาดน้ำเงิน,0100090050007,code128,ไม่ระบุ,01,004,004,  ,260.75,340,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1"" ปลายเรียบคาดแดง",0100090060006,code128,ไม่ระบุ,01,004,004,  ,228.97,290,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1"" ปลายเกลียวคาดเหลือง",0100090060001,code128,ไม่ระบุ,01,004,004,  ,271.03,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1"" ปลายเกลียวคาดน้ำเงิน",0100090060007,code128,ไม่ระบุ,01,004,004,  ,327.1,440,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/4"" ปลายเรียบคาดแดง",0100090070006,code128,ไม่ระบุ,01,004,004,  ,289.72,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/4"" ปลายเกลียวคาดเหลือง",0100090070001,code128,ไม่ระบุ,01,004,004,  ,353.27,400,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/4"" ปลายเกลียวคาดน้ำเงิน",0100090070007,code128,ไม่ระบุ,01,004,004,  ,428.04,480,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/2"" ปลายเรียบคาดแดง",0100090080006,code128,ไม่ระบุ,01,004,004,  ,325.23,410,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/2"" ปลายเกลียวคลาดเหลือง",0100090080001,code128,ไม่ระบุ,01,004,004,  ,406.54,467.29,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 1-1/2"" ปลายเกลียวคาดน้ำเงิน",0100090080007,code128,ไม่ระบุ,01,004,004,  ,480.37,660,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2"" ปลายเรียบคาดแดง",0100090090006,code128,ไม่ระบุ,01,004,004,  ,415.89,500,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2"" ปลายเกลียวคาดเหลือง",0100090090001,code128,ไม่ระบุ,01,004,004,  ,518.69,559.81,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2"" ปลายเกลียวคาดน้ำเงิน",0100090090007,code128,ไม่ระบุ,01,004,004,  ,653.27,718.69,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2-1/2"" ปลายเรียบคาดแดง",0100090100006,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2-1/2"" ปลายเกลียวคาดเหลือง",0100090100001,code128,ไม่ระบุ,01,004,004,  ,535,600,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 2-1/2"" ปลายเกลียวคาดน้ำเงิน",0100090100007,code128,ไม่ระบุ,01,004,004,  ,799,920,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 3"" ปลายเกลียวคาดเหลือง",0100090110001,code128,ไม่ระบุ,01,004,004,  ,1067,1120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 3"" ปลายเกลียวคาดน้ำเงิน",0100090110007,code128,ไม่ระบุ,01,004,004,  ,1272,1500,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 4"" ปลายเกลียวคาดเหลือง",0100090120001,code128,ไม่ระบุ,01,004,004,  ,1503,1570,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กประปา 4"" ปลายเกลียวคาดน้ำเงิน",0100090120007,code128,ไม่ระบุ,01,004,004,  ,2021,2070,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแบน 6 หุน เหลือง,0100100050001,code128,ไม่ระบุ,01,004,004,  ,86,100,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแบน 6 หุน ส้ม,0100100050002,code128,ไม่ระบุ,01,004,004,  ,108,120,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแบน 6 หุน ขาว,0100100050003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 1"" เหลือง",0100100060001,code128,ไม่ระบุ,01,004,004,  ,91,130,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 1"" ส้ม",0100100060002,code128,ไม่ระบุ,01,004,004,  ,125,150,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 1"" ขาว",0100100060003,code128,ไม่ระบุ,01,004,004,  ,176,200,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 2"" เหลือง",0100100090001,code128,ไม่ระบุ,01,004,004,  ,175,210,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 2"" ส้ม",0100100090002,code128,ไม่ระบุ,01,004,004,  ,234,260,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 2"" ขาว",0100100090003,code128,ไม่ระบุ,01,004,004,  ,327,360,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 3"" เหลือง",0100100110001,code128,ไม่ระบุ,01,004,004,  ,268,310,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 3"" ส้ม",0100100110002,code128,ไม่ระบุ,01,004,004,  ,335,370,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 3"" ขาว",0100100110003,code128,ไม่ระบุ,01,004,004,  ,500,540,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 4"" เหลือง",0100100120001,code128,ไม่ระบุ,01,004,004,  ,287,320,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กแบน 4"" ส้ม",0100100120002,code128,ไม่ระบุ,01,004,004,  ,477,510,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็ก 4 แผ่น 1 หุน,0100110000900,code128,ไม่ระบุ,01,007,007,  ,465,550,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็ก 3 แผ่น 1 หุน,0100110000800,code128,ไม่ระบุ,01,007,007,  ,523,630,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นดำ 1.2ม.X2.4ม. (1.2 มิล),0100110190501,code128,ไม่ระบุ,01,007,007,  ,739,884.11,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นดำ 1.2ม.X2.4ม. (1.5 มิล),0100110190502,code128,ไม่ระบุ,01,007,007,  ,905,1058.88,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นดำ 1.2ม.X2.4ม. (2 มิล),0100110190508,code128,ไม่ระบุ,01,007,007,  ,1110,1276.63,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นดำ 1.2ม.X2.4ม. (2.5 มิล),0100110190504,code128,ไม่ระบุ,01,007,007,  ,1357,1550,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นดำ 1.2ม.X2.4ม. (3 มิล),0100110190509,code128,ไม่ระบุ,01,007,007,  ,1628,1753,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นชุบซิงค์ 1.2 มิล,0100110190701,code128,ไม่ระบุ,01,007,007,  ,815,900,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นลาย 2 มิล (ลายรีด),0100110190608,code128,ไม่ระบุ,01,007,007,  ,1672,1860.75,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กแผ่นลาย 3 มิล (ตีนเป็ด),0100110190609,code128,ไม่ระบุ,01,007,007,  ,2293,2446.73,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
วายเมช 1.50ม.x25ม.,0100120200000,code128,ไม่ระบุ,01,006,006,  ,588,738.32,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
วายเมช 2.00ม.x25ม.,0100120210000,code128,ไม่ระบุ,01,006,006,  ,784,981.31,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
วายเมช 2.50ม.x25ม.,0100120220000,code128,ไม่ระบุ,01,006,006,  ,980,1233.65,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
วายเมช 3.00ม.x25ม.,0100120230000,code128,ไม่ระบุ,01,006,006,  ,1176,1495.33,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กรางน้ำ 2"" เหลือง",0100130090001,code128,ไม่ระบุ,01,004,004,  ,530,580,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กรางน้ำ 3"" ส้ม",0100130110002,code128,ไม่ระบุ,01,004,004,  ,769,830,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กรางน้ำ 4"" ส้ม",0100130120002,code128,ไม่ระบุ,01,004,004,  ,1250,1350,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กรางน้ำ 5"" ส้ม",0100130130002,code128,ไม่ระบุ,01,004,004,  ,1535,1600,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเพลาขาว 2 หุน ยาว4 ม.,0100140010000,code128,ไม่ระบุ,01,004,004,  ,39,60,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเพลาขาว 3 หุน ยาว6 ม.,0100140020000,code128,ไม่ระบุ,01,004,004,  ,89,110,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กเพลาขาว 4 หุน ยาว6 ม.,0100140030000,code128,ไม่ระบุ,01,004,004,  ,162,200,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กHบีม 100x100x6x8mm ยาว 6ม. ,0100180330000,code128,ไม่ระบุ,01,004,004,  ,0,2318.9,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กHบีม 150x150x7x10มม. ยาว 6ม,0100180340000,code128,ไม่ระบุ,01,004,004,  ,0,4246.83,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กHบีม 200x200x8x12มม. ยาว 6ม.,0100180350000,code128,ไม่ระบุ,01,004,004,  ,0,6727.52,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กIบีม 150x75x5.5x9.5x6m,0100190360000,code128,ไม่ระบุ,01,004,004,  ,0," 2,546.94 ",20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กIบีม 200x100x7x10x6m,0100190370000,code128,ไม่ระบุ,01,004,004,  ,0,3872.54,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กIบีม 250x125x7.5x12.5x6m,0100190380000,code128,ไม่ระบุ,01,004,004,  ,0,5704.56,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดหนาม (ขด),0100150000000,code128,ไม่ระบุ,01,000,000,  ,161.2,196.26,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดผูกเหล็ก (ขด),0100160000000,code128,ไม่ระบุ,01,000,000,  ,74.68,100,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดผูกเหล็ก (กก),0100160000010,code128,ไม่ระบุ,01,005,005,  ,0,51.4,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x10,0100170240011,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x15,0100170250000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x20,0100170260000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x25,0100170270000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x30,0100170280000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 10x35,0100170290000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 15x15,0100170300000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 15x20,0100170310000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ปลอกเสา 15x25,0100170320000,code128,ไม่ระบุ,01,005,005,  ,23.36,42.06,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดชุบ เบอร์ 14,0100200390011,code128,ไม่ระบุ,01,005,005,  ,33,56.07,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดชุบ เบอร์ 16,0100200400011,code128,ไม่ระบุ,01,005,005,  ,35,56.07,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
ลวดชุบ เบอร์ 20,0100200410011,code128,ไม่ระบุ,01,005,005,  ,37,56.07,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
